ttrcheck_description,ttcheck_remark_service,ttcheck_device_service,ttcheck_brand_service,ttcheck_series_service
"LCD menampilkan warna pink/kuning, indikasi panel aging/defect",Warna layar jadi kekuningan tidak normal,NB,Lenovo,Yoga Slim 7
"Dead pixel banyak (cluster), rekomendasi ganti panel",Ada titik-titik hitam/putih makin banyak,NB,HP,Pavilion 14
Selesai install anti virus. Type laptop HP ELITEBOOK 839,install antivirus,NB,HP,HP 14s
"Tuts spasi keyboard masih tidak bisa. Koneksi Wi-Fi kadang susah, dan perangkat kadang hang saat bagian bawah laptop ketekan.","Cek tombol spasi, troubleshooting Wi-Fi, cek kemungkinan tekanan bawah memicu hang.",NB,LG,Gram 14
Yang menyebabkan laptop sering bluescreen adalah karena overheat. sudah dilakukan ganti pasta dan hasilnya normal. untuk keyboardnya rusak perlu di ganti,Sering mengalami bluescreen dan banyak tombol yang tidak bisa diketik,NB,Lenovo,Thinkpad X1
Setelah dilakukan pengecekan kendala pada fan eksternal rusak dan dilakukan cleaning dan pergantian pasta,Fan bunyi dan berdebu,PC,Pc rakitan,ASROCK X570
Dilakukan  power influshing manual dari pembuangan tinta. Dan printer kembali normal  lg,Tinta tidak mau keluar,PT,Epson,L3110
baterai rusak,indikator baterai tidak terbaca/0% terus,NB,DELL,INSPIRON
Sudah normal,Test,NB,Dell,Inspiron
"Port power (DC-in) pada AIO longgar, perlu perbaikan port",Komputer AIO tidak bisa nyala kecuali kabel ditekan,PC,ASUS,Vivo AIO
"Dudukan engsel (bracket) lepas, perlu perbaikan rangka/top cover",Layar jadi goyang dan tidak bisa tegak,NB,ASUS,VivoBook 15
Tinta habis warna hitam,Dummy Data,PT,Epson,Printer Besar
"Fan casing mati, airflow buruk, ganti fan casing",PC panas walau tidak dipakai berat,PC,HP,EliteDesk 800 G3
"Setting input monitor salah (bukan HDMI/DP), setelah set ulang tampil",Monitor nyala tapi tulisan 'No Signal',PC,MSI,MAG Infinite S
"Bracket engsel patah, wajib ganti bracket & servis casing",Ada celah besar di sisi engsel,NB,Dell,Vostro 3400
Unit tidak ada tampilan tetapi power on,Tidak bisa power on,PC,Dell,Optiplex
"Beberapa tombol tidak respons, indikasi keyboard aus, ganti keyboard",Tombol A S D kadang tidak jalan,NB,Lenovo,ThinkPad T14
"Motherboard rusak, ada konslet  .",Dummy Data,NB,Asus,ROG
baterai aus tinggal �44% saja,baterai boros dan cepat low,NB,LG,Gram 14
tinta mampet di ink cariage warna black - tinta juga kosong di bagian cariage nya - dilakukan power influshing manual di bagian ink cariage dan di bagian pompa pembuangan - setelah selesai dilakukan tes print oleh user printer kembali normal..,Hasil printer tidak ada padahal tinta masih ada.,PT,Epson,L3150
"Overcurrent pada USB menyebabkan proteksi, ditemukan USB port short",Colok flashdisk bikin PC langsung mati,PC,HP,EliteDesk 800 G3
penggantian SSD SATA & migrasi beres,optimasi sistem setelah instal OS + pasang antivirus,NB,LG,GRAM 15
"Sistem file corrupt akibat force shutdown, perlu repair/backup data",Laptop sering minta scan and repair terus,NB,MSI,Modern 15
"Disk error menyebabkan aplikasi freeze, dilakukan chkdsk dan perbaikan file sistem",Sering not responding saat buka aplikasi,PC,Acer,Aspire TC
SSD SATA baru terpasang,migrasi aplikasi & dokumen; aktivasi OS dan instal antivirus,NB,HP,PROBOOK 440
Cleaning & Repasta,CLEANING & REPASTA,NB,DELL,ALIENWARE
"Short pada board (area USB/power rail), perlu perbaikan board",Laptop tiba-tiba mati dan tidak bisa nyala lagi,NB,MSI,Modern 14
tidak ada tampilan saat dinyalakan,power menyala tetapi display tetap hitam,PC,Acer,Veriton
baterai error,charging putus-nyambung dan persen naik turun,NB,MSI,MODERN
"Heatsink tidak menempel sempurna (sekrup longgar), dilakukan re-mount",Suhu tiba-tiba tinggi padahal kipas normal,NB,MSI,Modern 14
Kabel kendor,Dummy Data,NB,Asus,ROG
Dilakukan pemberihan pada kabel dari lcd ke motherboard unit masih mengalami lcd berbayang. Kerusakan ada pada lcd atau kabel lcd.,Layar,NB,Lenovo,Ideapad Gaming 3
"Casing back cover retak, titik tumpu engsel lemah, rekomendasi ganti cover",Tutup layar terasa miring,NB,ASUS,ZenBook 14
Selesai install antivirus type HP 240 G8 SN: 5CG3503GZ6,install antivirus,NB,HP,HP 14s
Cleaning,pc agak lemot perlu dibersihkan dan ganti pasta,PC,pc rakit,intel core I5-13400F
Dummy data,Dummy Data,NB,Asus,ROG
selesai pemasangan SSD SATA,clone disk + verifikasi boot; instal antivirus dan update OS,NB,MSI,MODERN 15
Dilakukan cleaning,Saat print hasilnya tidak tidak bagus Tinta nya tidak tercetak jelas di kertas,PT,Epson,L3210
"Port USB depan drop, pindah ke port belakang normal",Keyboard USB sering mati nyala,PC,HP,EliteDesk 800 G3
"Spasi di keyboard masih nggak jalan setelah cleaning dan update. Mau sambung Wi-Fi sulit, sesekali nge-freeze kalau bawah laptop ditekan., ""Diagnosa keyboard space, troubleshooting Wi-Fi","cek flex/casing bawah.""",NB,ASUS,ZenBook UX430
"Warna tidak normal (tint kuning/pink), indikasi panel aging",Warna layar jadi kekuningan,NB,Dell,Inspiron 14
"Battery connector longgar, setelah re-seat pengisian normal","Kadang terdeteksi charging, kadang tidak",NB,Lenovo,ThinkPad T480
PSU error,PC restart sendiri terutama saat beban tinggi,PC,PC RAKITAN,PC Rakitan
Terimakasih,Tidak bisa hidup,NB,Dell,Inspiron 3000
"Engsel berkarat (kelembapan), dilakukan pembersihan & penggantian bila perlu",Engsel bunyi dan terasa seret,NB,HP,ProBook 440
"Keyboard tombol spasi nggak berfungsi walau sudah dibersihkan. Konek Wi-Fi sering susah, kadang hang kalau bagian bawahnya kepencet., ""Periksa spacebar, driver keyboard, modul Wi-Fi","dan kondisi fisik bawah laptop.""",NB,Dell,Latitude 5400
Unit overheat dilakukan cleaning pergantian pasta update driver dan pemasangan fan processor dan unit kembali normal,Re-paste,NB,ASUS,m409da-ek511t
"Port SATA motherboard bermasalah, pindah port lain normal",HDD terdeteksi tapi sering disconnect,PC,HP,ProDesk 600 G4
"Resolusi/refresh rate terlalu tinggi untuk monitor, turunkan setting",Layar blank setelah ubah refresh rate ke 144Hz,PC,HP,ProDesk 600 G5
"DC jack longgar/retak, perlu solder ulang atau ganti port","Kalau charger digoyang, laptop ikut mati/nyala",NB,Acer,Aspire 5
"Printer canon G2010 selang infus mampet karena secondary tabung tinta kosong, mengakibatkan tinta tidak sampai ke print head catridge. Setelah di perbaiki printer sudah normal kembali",Permasalahan tinta macet tidak mengalir sempurna ke kertas jadi warna tidak keluar secara sempurna,PT,Canon,Pixma
"Panel LCD retak internal, wajib ganti LCD",Layar bergaris dan pecah setelah terjatuh,NB,Acer,Aspire 5
"Palmrest bengkok menekan keyboard, perlu perbaikan casing",Tombol sering kepencet sendiri saat ditutup,NB,Acer,Swift 5
"Receiver wireless bermasalah, ganti receiver/baterai normal",Keyboard wireless sering disconnect,PC,Lenovo,ThinkCentre M720
"GPU overheat saat gaming, perlu cleaning & undervolt/setting",Main game sebentar langsung drop FPS,NB,ASUS,TUF A15
"BIOS setting primary display salah, reset CMOS memperbaiki",Tidak tampil setelah ubah setting BIOS,PC,Dell,Precision Tower 3620
baterai bermasalah sisa kapasitas sekitar 39%,charging normal tapi cepat habis saat dipakai,NB,SAMSUNG,Galaxy Book
Cleaning dan tambah termal pasta,laptop sering panas dan lemot (tdk pernah clean up dan ganti pasta 2tahun😭),NB,asus,vivobook pro 14x
"Setting power plan/driver ACPI error, setelah reinstall driver normal",Persentase baterai naik turun tidak wajar,NB,ASUS,TUF Gaming F15
"Brightness control bermasalah (sensor/firmware), setelah update BIOS normal",Brightness tidak bisa diatur dan layar tiba-tiba redup,NB,Dell,Latitude 5420
"Storage penuh + startup berat, dilakukan optimasi startup dan cleanup",Laptop lemot sekali saat nyala,NB,Lenovo,IdeaPad 3
Selesai install anti virus Dell,install antivirus,NB,Dell,HP 14s
Setelah dilakukan pengecekan selang tinta dan catridge nya ternyata mengalami masuk angin atau tinta macet di bagian selang menuju ke rumah catrid,Kalau print tintanya tidak nyata / burem padahal tinta belum habis.,PT,Canon,InkJet Pixma G570
"Kabel power rusak, battery rusak",Dummy Data,NB,Dell,Latitude
"Dibersihkan n di update tuts spasi tetep ga bisa, ""Laptop lenovo thinkpad T450, keluhan spasi dikeyboard gabisa, mau konek ke wifi susah","kadang nge hang kalau bagian bawah laptop keteken""",NB,Lenovo,Thinkpad
Setelah di bersihkan unit kembali normal,Gabisa di charge,NB,Lenovo,520
"Port DisplayPort bermasalah, pindah ke port lain/replace port","Kalau pakai DP tidak muncul, pakai HDMI normal",PC,Acer,Aspire TC
"Kerusakan pada motherboard, ""Pc bermasalah cpu menyala tapi tidak tampil di monitor tidak tau kerusakannya dimana","ganti pasta dan merapikan kabel pc yg kurang rapi""",PC,ASrock,Bm450
"Setting waktu/tanggal salah menyebabkan error sertifikat, disesuaikan","Tidak bisa buka website tertentu, muncul certificate error",NB,Dell,Vostro 3400
"Dilakukan pembersihan motherboard, penggantian pasta, dan pengecekan motherboard secara fisik, dan pengecekan LCD, ""Tiba-tiba layar lcd gelap, tapi sisanya kondisi laptop normal menyala","masih keliatan juga layarnya tapi harus disenterin.""",NB,lenovo,ideapad slim 3
"Speaker tidak berfungsi, setelah dilakukan cleaning hardware board dan update driver speaker kembali normal dan juga dilakukan cleaning dan pergantian pasta processor .",Audio speaker tidak berfungsi,NB,Lenovo,Ideapad S145-14AST
"OS terinfeksi malware, dilakukan scan offline dan pembersihan",File hilang sendiri dan muncul shortcut aneh,PC,Lenovo,ThinkCentre M910
"Keyboard kena cairan (korosi), perlu ganti keyboard dan bersih konektor","Setelah ketumpahan teh, tombol jadi ngetik sendiri",NB,ASUS,VivoBook 14
Dummy data,Dummy Data,PC,Asus,ROG
"Dicek pakai adaptor user, laptop tidak bisa nyala, dicoba pakai adaptor yg lain, laptop bisa nyala, kemudian laptop di bongkar dan ganti pasta, karna user bilang laptopnya sering mati sendiri atau overhead",Tidak mau dicharge.,NB,Hp,Hp Notebook
"Engsel seret menyebabkan bezel terangkat, disarankan ganti satu set engsel",Bezel atas terbuka dan layar susah ditutup,NB,HP,Pavilion 15
"Spasi di keyboard masih nggak jalan setelah cleaning dan update. Mau sambung Wi-Fi sulit, sesekali nge-freeze kalau bawah laptop ditekan.","Diagnosa keyboard space, troubleshooting Wi-Fi, cek flex/casing bawah.",NB,ASUS,ZenBook UX430
"Debu tebal di sirip heatsink, airflow tersumbat",Laptop panas dan sering freeze,NB,Acer,Swift 3
selesai penggantian SSD SATA + migrasi data + instal OS + antivirus,cloning sistem lama ke SSD baru lalu konfigurasi OS dan antivirus,NB,ASUS,VIVOBOOK 14
"Ventilasi tertutup (pemakaian di kasur), edukasi + cleaning",Laptop sering mati mendadak saat dipakai di kasur,NB,Acer,Aspire 5
"Tombol tertentu keras/macet, perlu pembersihan atau replace keycap mechanism",Tombol spasi susah dipencet,NB,HP,ProBook 440
"Setelah buang daya, cleaning dan repasta laptop nyala kembali dan berjalan dengan normal",Laptop mati total setelah di sleep selama seminggu. Saat di cas lampu indikator mati.,NB,Lenovo,Ideapad 110-14
Unit telah di cleaning dan repasta. Unit nyala normal,kotor dan mau ganti pasta,NB,Asus ROG,a46cm
tidak ada tampilan saat dinyalakan,power menyala tetapi display tetap hitam,PC,Acer,Veriton
"Engsel kiri patah, menarik fleksibel LCD hingga muncul garis/hilang tampilan",Layar berubah kalau dibuka-tutup,NB,HP,ProBook 440
"Heatsink penuh debu, dilakukan pembersihan total",PC bunyi kipas kencang terus,PC,Acer,Veriton X
"GPU/IGPU overheating, muncul artefak; perlu perbaikan pendinginan & cek IC",Layar muncul kotak-kotak/warna pecah saat dipakai lama,NB,ASUS,TUF Gaming F15
"Tombol spasi di keyboard nggak fungsi meski sudah dibersihkan. Untuk konek Wi-Fi susah, dan kadang nge-hang kalau bawah laptop ke-teken.","Cek mekanik spacebar, driver, uji Wi-Fi, cek casing bawah/komponen.",NB,Samsung,Galaxy Book Pro
"Sudah dilakukan cleaning, copot pasang fleksibel keyboard dan settingan, keyboard tetap tidak bisa, ""Keyboard error, sering ketik otomatis","satu tombol menekan terus""",NB,Dell,Vostro
"Dibersihkan n di update keyboard tuts spasi tetap ga bisa, ""Laptop lenovo thinkpad T450, keluhan spasi dikeyboard gabisa, mau konek ke wifi susah","kadang nge hang kalau bagian bawah laptop keteken""",NB,Lenovo,Thinkpad
"Kabel SATA rusak, setelah ganti kabel normal",Storage sering tidak terdeteksi setelah dipindah,PC,Dell,OptiPlex 7040
"Konflik aplikasi macro/driver, uninstall aplikasi penyebab",Keyboard jadi ngetik shortcut sendiri,PC,ASUS,ROG Strix G10
Dummy,Dummy Data,PT,Epson,Printer Besar
hinge retak dan bunyi krek,ada retakan pada engsel dan muncul bunyi saat buka tutup layar,NB,ACER,Aspire 5
"Mekanisme engsel aus, perlu penggantian engsel","Layar tidak bisa menahan posisi, jatuh ke belakang",NB,Acer,Swift 3
"Screen flicker akibat refresh rate/resolusi tidak sesuai, set ulang display",Layar berkedip di aplikasi tertentu,NB,ASUS,ZenBook 13
"Layar blank tapi output eksternal normal, indikasi panel/fleksibel rusak","Kalau pakai HDMI ke TV tampil, layar laptop kosong",NB,Dell,Latitude 5420
"Driver VGA corrupt, dibersihkan DDU lalu install driver resmi",Layar jadi hitam setelah install driver,NB,ASUS,TUF Gaming F15
PSU bermasalah,power tidak stabil dan PC sering mati sendiri,PC,PC RAKITAN,PC Rakitan
unit menyala tetapi layar blank,tombol power berfungsi namun tidak ada tampilan,PC,HP,EliteDesk
PC hidup tapi tidak muncul display,indikator power on namun monitor tidak menampilkan gambar,PC,Lenovo,ThinkCentre
Repasta,Cleaning dan repasta untuk gaming,NB,HP,Victus 15
"HP 14 D004AX laptop tidak nyala  Dicek bersihkan ram, ganti pasta",Laptop tidak bisa hidup. Padahal tadi semalam dan tadi pagi masih bisa saya pakai,NB,HP,HP-14
"Tombol power fleksibel rusak/intermitten, perlu ganti board tombol",Tombol power harus ditekan berkali-kali baru nyala,NB,Dell,Inspiron 14
baterai tidak normal,tidak mengisi saat charger terpasang,NB,ACER,ASPIRE
"GPU desktop overheat, bersihkan dan ganti thermal pad",Main game muncul artefak lalu crash,PC,ASUS,ROG Strix G10
Dummy,Dummy Data,NB,Asus,ROG
"Panel LCD dead pixel banyak, sesuai batas klaim perlu penggantian panel",Ada titik-titik hitam putih makin banyak,NB,Acer,Swift 3
"Selesai ganti SSD sata 256gb, migrasi OS, dan install anti virus",ganti ssd,NB,HP,14s
Pengecekan mesin dan repasta,Laptop sudah nyalah kembali. Laptop hidup namun layar tidak hidup. Sering tiba tiba rebooy,NB,Lenovo,Thinkpad
"Engsel kanan retak, perlu ganti engsel + casing karena menarik cover",Buka-tutup layar bunyi krek dan berat,NB,Dell,Latitude 5420
Pin adaptor longgar. Sudah diperbaiki,Tidak bisa dicharging,NB,HP,Elitebook
